"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"119",119,"Bolivia Chile","base treaty",0,1,1,0,0,0,0,2,0.861141856807284
"121",121,"Bolivia Cuba","base treaty",0,1,1,0,0,0,0,2,0.188140672867912
"123",123,"Bolivia MERCOSUR","base treaty",1,1,0,0,0,1,0,3,0.494909674016807
"124",124,"Bolivia Mexico","base treaty",1,1,1,1,1,0,1,6,1.88139165642788
"125",125,"Bolivia Paraguay","base treaty",0,1,1,0,0,0,0,2,-0.370565920730587
"126",126,"Bolivia Uruguay","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"128",128,"Bosnia and Herzegovina Bulgaria","base treaty",1,1,0,0,0,0,0,2,0.747268409001953
"129",129,"Bosnia and Herzegovina Croatia","base treaty",1,1,0,0,0,0,0,2,0.861141856807379
"130",130,"Bosnia and Herzegovina EC SAA","base treaty",1,1,0,0,1,0,0,3,1.17603126807731
"131",131,"Bosnia and Herzegovina Macedonia","base treaty",1,1,0,0,0,0,0,2,0.56188780153779
"132",132,"Bosnia and Herzegovina Moldova","base treaty",1,1,0,0,0,0,0,2,0.424673765914709
"133",133,"Bosnia and Herzegovina Romania","base treaty",1,1,0,0,0,0,0,2,0.56188780153781
"134",134,"Bosnia and Herzegovina Serbia Montenegro","base treaty",1,1,0,0,0,0,0,2,0.969540460901235
"135",135,"Bosnia and Herzegovina Slovenia","base treaty",1,1,0,0,0,0,0,2,0.861141856807379
"136",136,"Bosnia and Herzegovina Turkey","base treaty",1,1,0,0,0,0,0,2,0.687697327650126
"138",138,"Brazil Cuba","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"139",139,"Brazil Cuba","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"140",140,"Brazil Guyana","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"141",141,"Brazil Mexico","base treaty",0,1,0,0,0,0,0,1,0.272066152027125
"142",142,"Brazil Peru","base treaty",0,1,0,0,0,0,0,1,-0.231064099057682
"143",143,"Brazil Suriname","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"144",144,"Brazil Uruguay","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"146",146,"Brunei Japan","base treaty",1,1,1,1,0,0,0,4,1.22667924641718
"148",148,"Bulgaria EC","base treaty",1,1,0,1,1,1,0,5,1.27710496640362
"149",149,"Bulgaria EFTA","base treaty",1,1,0,0,0,0,1,3,0.687697327650728
"150",150,"Bulgaria Estonia","base treaty",1,1,0,0,0,0,0,2,0.747268409001945
"151",151,"Bulgaria Finland","base treaty",1,0,0,0,0,0,0,1,-1.00955547679032
"152",152,"Bulgaria Israel","base treaty",1,1,0,0,0,0,0,2,0.424673765914619
"153",153,"Bulgaria Latvia","base treaty",1,1,0,0,0,0,0,2,0.494909674016902
"154",154,"Bulgaria Lithuania","base treaty",1,1,0,0,0,0,0,2,0.424673765914619
"155",155,"Bulgaria Macedonia","base treaty",1,1,0,0,0,0,0,2,0.561887801537861
"156",156,"Bulgaria Moldova","base treaty",1,1,0,0,0,0,0,2,0.687697327650704
"157",157,"Bulgaria Serbia","base treaty",1,1,0,0,0,0,0,2,0.804999856253015
"158",158,"Bulgaria Slovakia","base treaty",1,1,0,0,0,0,0,2,0.172153350741433
"159",159,"Bulgaria Slovenia","base treaty",1,1,0,0,0,0,0,2,0.259302940737674
"160",160,"Bulgaria Turkey","base treaty",1,1,0,0,0,0,0,2,0.561887801537802
"161",161,"Canada Chile","base treaty",1,1,1,1,0,1,0,5,1.42941883671844
"162",162,"Canada Colombia","base treaty",1,1,1,1,1,1,0,6,1.6986497631121
"163",163,"Canada Costa Rica","base treaty",1,1,1,0,0,1,0,4,1.07406608904114
"164",164,"Canada EFTA","base treaty",1,1,0,0,0,1,0,3,0.626004496767261
"165",165,"Canada Israel","base treaty",1,1,0,0,0,1,0,3,0.350621385945942
"166",166,"Canada Jordan","base treaty",1,0,1,0,0,0,0,2,0.687697179899296
"167",167,"Canada New Zealand","base treaty",0,0,0,0,0,0,0,0,0.0977138215904619
"168",168,"Canada Peru","base treaty",1,1,1,1,1,1,0,6,1.64216321171879
"169",169,"Canada US","base treaty",1,0,1,1,0,0,0,3,0.687697179899264
"170",170,"Canada US Automotive Products Trade Agreement (APTA)","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"171",171,"Caribbean Community (CARICOM)","base treaty",1,0,0,0,0,0,0,1,-0.000736131997322954
"176a",171,"Caribbean Community (CARICOM) Protocol on Services","consolidated",1,0,0,1,0,0,0,2,0.188140672867878
"172",172,"Caribbean Community (CARICOM) Colombia","base treaty",0,1,0,0,0,0,0,1,0.0977138215904264
"173",173,"Caribbean Community (CARICOM) Costa Rica","base treaty",0,1,1,0,0,1,0,3,1.12532533019221
"174",174,"Caribbean Community (CARICOM) Cuba","base treaty",0,1,0,0,0,0,0,1,0.272066152027146
"175",175,"Caribbean Community (CARICOM) Dominican Republic","base treaty",0,1,0,0,0,0,0,1,0.0977138215904595
"177",177,"Caribbean Community (CARICOM) revised","base treaty",1,1,0,1,0,0,0,3,0.626004496540324
"178",178,"Caribbean Community (CARICOM) Venezuela","base treaty",0,1,0,0,0,0,0,1,-0.000736132287944866
"179",179,"Caribbean Free Trade Association (CARIFTA)","base treaty",1,0,0,0,0,0,0,1,-0.109313833128162
"180",180,"Caribbean Free Trade Association (CARIFTA)","base treaty",1,0,0,0,0,0,0,1,-0.231064098960801
"181",181,"CARIFORUM EC EPA","base treaty",1,1,1,1,1,1,1,7,1.75707348919211
